,borough_abbr,income_status,Total annual income (£),retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,tot_mobility
203,Telford and Wrekin,Mid Income,39100.0,-33.304,-9.46,30.837004405286343,-34.8008658008658,-38.124,14.252,-29.37987012987013
204,Tendring,Low Income,35550.0,-27.696969696969695,-5.67948717948718,46.778260869565216,-25.28138528138528,-38.708,12.036,-24.393939393939394
205,Test Valley,High Income,54700.0,-37.62770562770563,-12.637096774193548,23.082251082251084,-28.623376623376622,-42.62,16.104,-30.350649350649352
206,Thanet,Mid Income,38700.0,-34.6764705882353,-10.756,66.89177489177489,-31.98,-37.636,12.944,-28.946428571428573
207,Three Rivers,High Income,52450.0,-38.04329004329004,-6.095238095238095,-25.064935064935064,-52.72532188841202,-49.62,19.089430894308943,-36.56709956709957
208,Tonbridge and Malling,High Income,52600.0,-36.77922077922078,-16.612,19.445887445887447,-46.064,-48.256,17.397590361445783,-36.95454545454545
209,Torridge,Low Income,36500.0,-24.930434782608696,-1.7272727272727273,29.64840182648402,4.87280701754386,-35.728,10.771186440677965,-14.487885462555067
210,Tower Hamlets,High Income,51450.0,-59.192,-21.344,-22.456,-60.984,-63.268,24.156,-51.197
211,Trafford,Mid Income,44100.0,-39.852,-14.448,-15.72844827586207,-45.636,-51.56,18.812,-37.874
212,Tunbridge Wells,High Income,51100.0,-37.5974025974026,-11.220779220779221,6.8268398268398265,-51.67381974248927,-47.548,17.580645161290324,-36.98051948051948
213,Uttlesford,High Income,51400.0,-43.13852813852814,-14.883116883116884,9.008968609865471,-66.908,-46.02,16.946938775510205,-43.07034632034632
214,Vale of White Horse,High Income,58250.0,-33.95238095238095,-11.645021645021645,28.919047619047618,-45.22510822510822,-52.008,19.305220883534137,-35.65367965367965
215,Wakefield,Mid Income,37200.0,-36.544,-4.428,11.995670995670995,-37.644,-39.96,13.828,-29.644
216,Walsall,Low Income,35200.0,-33.984,-10.692,16.541125541125542,-37.812,-39.16,13.764,-30.412
217,Waltham Forest,High Income,50400.0,-28.992,-8.732,39.484848484848484,-47.664,-52.84,19.052,-34.557
218,Wandsworth,High Income,63100.0,-44.896,-15.052,36.45606694560669,-53.584,-61.084,24.88,-43.654
219,Warwick,High Income,48500.0,-44.757201646090536,-19.908,19.06926406926407,-62.028,-54.32,20.456,-45.17695473251029
220,Watford,High Income,49600.0,-43.210743801652896,-7.461847389558233,35.135,-56.844,-47.844,18.670682730923694,-38.804752066115704
221,Waveney,Mid Income,37800.0,-32.116883116883116,-3.7705627705627704,56.12217194570136,-32.926406926406926,-35.416,11.584,-26.086580086580085
222,Wealden,Mid Income,45600.0,-36.74025974025974,-13.03896103896104,35.44155844155844,-34.41558441558441,-43.852,15.408,-31.98701298701299
223,Welwyn Hatfield,High Income,48300.0,-42.098290598290596,-18.884,28.34269662921348,-49.248,-47.34,17.816,-39.36965811965812
224,West Devon,Mid Income,41000.0,-36.70614035087719,-5.251207729468599,37.79220779220779,-18.545454545454547,-38.185344827586206,10.35678391959799,-25.73651960784314
225,West Lancashire,Mid Income,40600.0,-31.87878787878788,-14.116883116883116,19.142156862745097,-37.316017316017316,-39.86,13.984,-30.775974025974026
226,West Lindsey,Mid Income,43400.0,-31.77922077922078,-1.9307359307359306,1.0083333333333333,-28.80952380952381,-37.636,12.528225806451612,-25.042207792207794
227,West Oxfordshire,High Income,53100.0,-38.63203463203463,-10.519480519480519,21.254807692307693,-33.38528138528139,-44.076,16.278225806451612,-31.61255411255411
228,West Somerset,Low Income,33500.0,-5.0181818181818185,,11.471861471861471,-4.004347826086956,-32.98701298701299,10.806451612903226,
229,Wirral,Mid Income,39350.0,-32.74,-9.396,46.62770562770563,-36.06,-42.684,14.288,-30.22
230,Worcester,Mid Income,42550.0,-45.00854700854701,-12.352,23.68075117370892,-42.77056277056277,-41.172,15.264,-35.371212121212125
231,Worthing,Mid Income,44700.0,-38.095238095238095,-13.306382978723404,54.97142857142857,-50.07786885245902,-43.584,15.144,-36.24025974025974
232,Wychavon,Mid Income,44900.0,-30.77922077922078,-13.718614718614718,39.54545454545455,-32.272,-37.712,14.38,-29.42099567099567
233,Wycombe,High Income,55500.0,-40.646341463414636,-15.7,31.35930735930736,-46.56,-48.028,18.416,-37.704268292682926
234,Wyre,Mid Income,37150.0,-36.22510822510822,-4.194805194805195,41.424778761061944,-22.575757575757574,-39.612,13.556,-25.689393939393938
235,Wyre Forest,Mid Income,38850.0,-31.70995670995671,-11.74025974025974,24.262295081967213,-36.71861471861472,-38.412,13.811244979919678,-29.6504329004329
